,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,num_rooms,factor
6168,2228,3,1,Rural,1983,207893,4,93.31
6169,1771,5,2,Urban,2012,297283,7,167.86
6170,2237,5,2,Urban,1997,226450,7,101.23
6171,1255,3,2,Rural,2002,100000,5,79.68
6172,1134,3,1,Urban,1974,65873,4,58.09
6173,2596,4,2,Urban,2012,239429,6,92.23
6174,1874,2,2,Urban,1958,190394,4,101.6
6175,1821,5,3,Urban,1972,189056,8,103.82
6176,1087,5,3,Urban,2019,182314,8,167.72
6177,2859,2,3,Urban,1986,293598,5,102.69
6178,1987,2,3,Urban,1971,174477,5,87.81
6179,2230,2,3,Urban,2021,306655,5,137.51
6180,2152,5,1,Urban,1957,224630,6,104.38
6181,1822,5,2,Suburb,1958,244491,7,134.19
6182,2026,5,2,Rural,1975,267265,7,131.92
6183,1973,3,1,Urban,1996,200294,4,101.52
6184,1933,4,2,Suburb,1998,211630,6,109.48
6185,2777,4,2,Suburb,1979,303224,6,109.19
6186,1120,2,2,Suburb,1993,172197,4,153.75
6187,2408,2,3,Suburb,1984,214999,5,89.29
6188,2637,5,3,Suburb,2011,279133,8,105.85
6189,2061,4,1,Rural,1987,301820,5,146.44
6190,2364,4,3,Suburb,1957,279231,7,118.12
6191,2007,3,2,Rural,2005,283610,5,141.31
6192,1924,5,1,Suburb,2019,160862,6,83.61
6193,1644,5,2,Rural,1987,279304,7,169.89
6194,1713,4,2,Rural,1967,232858,6,135.94
6195,1859,4,1,Suburb,1950,250709,5,134.86
6196,1020,3,2,Urban,1957,80523,5,78.94
6197,1241,3,1,Rural,1961,197192,4,158.9
6198,1454,5,1,Urban,2014,106335,6,73.13
6199,1962,3,2,Urban,2009,233745,5,119.14
6200,1620,4,2,Suburb,1966,184916,6,114.15
6201,1302,5,2,Urban,2019,205543,7,157.87
6202,2619,4,2,Rural,1971,302107,6,115.35
6203,2618,5,1,Suburb,1996,347996,6,132.92
6204,1802,5,3,Urban,2021,262093,8,145.45
6205,1963,4,2,Urban,1970,301445,6,153.56
6206,1068,5,1,Suburb,1954,143864,6,134.7
6207,2152,5,3,Suburb,1980,212666,8,98.82
6208,1195,3,1,Suburb,1979,162530,4,136.01
6209,1139,4,3,Urban,1994,95253,7,83.63
6210,2467,4,3,Suburb,1990,309923,7,125.63
6211,1282,3,3,Suburb,1978,223959,6,174.7
6212,1311,5,2,Suburb,1990,104736,7,79.89
6213,1745,2,3,Rural,2003,265868,5,152.36
6214,2558,2,3,Rural,1959,243007,5,95.0
6215,2688,4,1,Suburb,1996,210964,5,78.48
6216,1276,3,2,Rural,1968,107914,5,84.57
6217,1060,5,1,Urban,2013,232754,6,219.58
6218,2342,3,2,Suburb,1997,219999,5,93.94
6219,2913,5,2,Urban,2012,210092,7,72.12
6220,1051,4,2,Suburb,1965,71692,6,68.21
6221,2879,4,3,Urban,1993,366588,7,127.33
6222,1152,2,2,Rural,1997,175066,4,151.97
6223,2772,3,2,Suburb,1996,274491,5,99.02
6224,2334,4,2,Suburb,1988,289299,6,123.95
6225,2837,3,2,Rural,2019,331722,5,116.93
6226,1543,4,1,Urban,1980,158016,5,102.41
6227,1566,5,3,Suburb,1981,251245,8,160.44
6228,2887,5,2,Rural,2000,297068,7,102.9
6229,2412,2,3,Rural,1994,260456,5,107.98
6230,2571,4,3,Rural,1952,226944,7,88.27
6231,1621,2,2,Rural,1960,191947,4,118.41
6232,2200,2,2,Urban,1953,284169,4,129.17
6233,2385,4,3,Suburb,2002,250383,7,104.98
6234,1313,4,3,Suburb,1953,145365,7,110.71
6235,1806,5,1,Rural,2016,95723,6,53.0
6236,1847,2,3,Rural,1972,252436,5,136.67
6237,1096,5,2,Rural,2005,112749,7,102.87
6238,1880,3,3,Suburb,1966,173460,6,92.27
6239,2236,3,2,Suburb,1961,213703,5,95.57
6240,1828,2,1,Suburb,1988,115403,3,63.13
6241,1136,2,2,Rural,1991,116585,4,102.63
6242,2029,4,2,Urban,1998,171796,6,84.67
6243,2010,4,3,Suburb,1954,210302,7,104.63
6244,1108,2,3,Urban,1964,151951,5,137.14
6245,1546,2,2,Suburb,2012,145860,4,94.35
6246,2062,3,1,Rural,1975,196969,4,95.52
6247,1661,5,2,Rural,1973,294373,7,177.23
6248,1424,3,2,Suburb,1992,99766,5,70.06
6249,1629,3,2,Rural,1985,167638,5,102.91
6250,1260,5,2,Rural,1975,183244,7,145.43
6251,2449,2,1,Suburb,2013,302372,3,123.47
6252,1086,2,2,Urban,1960,64049,4,58.98
6253,1464,3,2,Urban,1969,190349,5,130.02
6254,1075,3,2,Rural,2001,108700,5,101.12
6255,1470,5,3,Rural,1982,253432,8,172.4
6256,2999,4,3,Urban,1955,349488,7,116.53
6257,2986,4,1,Suburb,1951,333642,5,111.74
6258,1413,2,1,Suburb,1968,237629,3,168.17
6259,1824,4,2,Urban,1979,210325,6,115.31
6260,1894,2,1,Rural,1974,162198,3,85.64
6261,1725,2,2,Suburb,1963,122167,4,70.82
6262,1456,2,1,Urban,1965,126345,3,86.78
6263,2308,5,3,Urban,1957,325295,8,140.94
6264,2262,3,2,Rural,1964,204692,5,90.49
6265,2700,4,2,Urban,2014,301625,6,111.71
6266,2622,5,3,Urban,1966,271537,8,103.56
6267,1652,4,1,Rural,1987,202089,5,122.33
6268,1671,5,2,Suburb,1963,182563,7,109.25
6269,2581,4,3,Urban,1997,250282,7,96.97
6270,2395,4,1,Rural,1991,222035,5,92.71
6271,1494,3,1,Rural,1964,208786,4,139.75
6272,2647,4,1,Suburb,1970,280651,5,106.03
6273,2942,5,2,Urban,1967,366522,7,124.58
6274,2068,4,3,Urban,2020,200093,7,96.76
6275,2424,3,2,Urban,2006,295564,5,121.93
6276,2270,4,1,Urban,1950,209177,5,92.15
6277,2639,5,2,Urban,2020,208750,7,79.1
6278,1596,4,1,Suburb,2013,171446,5,107.42
6279,1449,3,1,Urban,1969,210348,4,145.17
6280,1484,3,3,Rural,2009,206629,6,139.24
6281,1645,3,2,Urban,1981,150482,5,91.48
6282,1619,3,3,Suburb,1954,204511,6,126.32
6283,2041,2,2,Suburb,1993,230226,4,112.8
6284,2629,3,2,Urban,1971,265292,5,100.91
6285,1661,4,2,Urban,1981,189659,6,114.18
6286,1757,4,1,Rural,1991,250475,5,142.56
6287,1288,4,3,Rural,2020,140063,7,108.74
6288,2437,4,3,Urban,2020,235727,7,96.73
6289,1720,2,3,Suburb,2000,203739,5,118.45
6290,1637,2,1,Rural,1970,118339,3,72.29
6291,1234,2,2,Urban,1993,131820,4,106.82
6292,1415,4,2,Suburb,1993,188996,6,133.57
6293,1937,5,1,Suburb,2003,229122,6,118.29
6294,1498,5,2,Rural,2008,166968,7,111.46
6295,1973,4,2,Suburb,1993,232805,6,118.0
6296,1633,3,3,Urban,2008,225601,6,138.15
6297,2673,3,1,Urban,1964,345088,4,129.1
6298,2019,4,2,Urban,1998,133338,6,66.04
6299,1114,3,1,Urban,1975,72850,4,65.39
6300,1931,3,1,Suburb,2021,175104,4,90.68
6301,1673,5,2,Suburb,1951,264029,7,157.82
6302,2736,4,2,Urban,1973,304680,6,111.36
6303,2257,2,1,Suburb,1952,215361,3,95.42
6304,2563,5,1,Urban,1994,259591,6,101.28
6305,2034,4,2,Urban,1970,213274,6,104.85
6306,1205,4,3,Rural,2001,137144,7,113.81
6307,2702,5,2,Urban,1960,294821,7,109.11
6308,1246,3,1,Suburb,2014,128792,4,103.36
6309,2582,3,1,Suburb,1993,292861,4,113.42
6310,1757,5,2,Suburb,1955,224913,7,128.01
6311,2150,4,2,Urban,2020,171253,6,79.65
6312,1146,2,1,Rural,2017,173374,3,151.29
6313,1117,4,1,Rural,1957,163969,5,146.79
6314,2934,2,1,Urban,1972,289028,3,98.51
6315,2405,2,3,Rural,2002,246166,5,102.36
6316,1411,4,3,Urban,2011,168691,7,119.55
6317,2687,4,1,Urban,2000,360747,5,134.26
6318,2607,4,1,Suburb,1963,296272,5,113.64
6319,1362,2,2,Suburb,2004,244636,4,179.62
6320,2532,3,1,Rural,1982,245703,4,97.04
6321,1136,2,3,Urban,1954,110128,5,96.94
6322,2198,2,1,Urban,1955,236274,3,107.49
6323,2312,2,3,Rural,1994,207900,5,89.92
6324,1957,5,2,Urban,1964,216293,7,110.52
6325,2504,3,3,Urban,2010,242087,6,96.68
6326,1018,2,2,Urban,2002,186445,4,183.15
6327,1194,2,3,Suburb,2002,152881,5,128.04
6328,1329,5,3,Urban,2006,102461,8,77.1
6329,2959,2,3,Rural,2016,270778,5,91.51
6330,1174,3,3,Urban,1963,149637,6,127.46
6331,2001,2,3,Urban,1970,186322,5,93.11
6332,1448,3,2,Rural,2015,187704,5,129.63
6333,2948,3,1,Suburb,1998,327991,4,111.26
6334,1945,4,2,Rural,1969,148003,6,76.09
6335,2377,5,1,Rural,1967,261584,6,110.05
6336,2522,5,2,Urban,2001,312480,7,123.9
6337,1140,5,3,Rural,1966,189801,8,166.49
6338,1757,4,1,Suburb,1962,179437,5,102.13
6339,2920,4,1,Rural,1976,327725,5,112.23
6340,1929,3,2,Urban,1955,200869,5,104.13
6341,1092,5,1,Urban,1984,138278,6,126.63
6342,2967,4,3,Rural,1967,324466,7,109.36
6343,1238,4,1,Suburb,1983,183733,5,148.41
6344,1204,4,2,Rural,1985,159803,6,132.73
6345,1559,3,1,Urban,1971,128200,4,82.23
6346,2456,2,2,Rural,2017,235489,4,95.88
6347,1244,4,3,Suburb,2012,179967,7,144.67
6348,1831,4,2,Suburb,1990,172843,6,94.4
6349,2340,4,2,Rural,2005,277797,6,118.72
6350,1924,5,1,Rural,1981,285203,6,148.23
6351,1294,5,2,Suburb,1965,210962,7,163.03
6352,1639,4,2,Rural,2014,224942,6,137.24
6353,1855,3,2,Urban,1965,216931,5,116.94
6354,2305,2,2,Urban,1994,201288,4,87.33
6356,1070,2,2,Urban,1992,111629,4,104.33
6357,2292,4,1,Urban,1969,201336,5,87.84
6358,2348,5,1,Urban,1981,225146,6,95.89
6359,2817,2,2,Rural,2020,234940,4,83.4
6360,1304,4,2,Urban,2019,259968,6,199.36
6361,2474,5,2,Urban,1968,288153,7,116.47
6362,2030,4,3,Suburb,1957,220725,7,108.73
6363,2337,5,2,Urban,1998,264284,7,113.09
6364,1816,2,1,Urban,1968,159647,3,87.91
6365,2126,2,1,Rural,1958,213193,3,100.28
6366,1820,5,2,Urban,1983,204537,7,112.38
6367,1192,3,1,Rural,1983,124294,4,104.27
6368,2776,4,1,Suburb,2015,309898,5,111.63
6369,2597,2,3,Urban,1966,301430,5,116.07
6370,1528,3,2,Suburb,1959,134714,5,88.16
6371,1170,5,1,Suburb,2017,176485,6,150.84
6372,2560,2,1,Urban,2013,268348,3,104.82
6373,1250,2,2,Suburb,1972,216812,4,173.45
6374,2788,4,1,Urban,1957,285700,5,102.47
6375,2410,3,3,Suburb,1995,312073,6,129.49
6376,2230,4,2,Rural,1988,266036,6,119.3
6377,1540,5,1,Rural,1967,215851,6,140.16
6378,2652,2,2,Rural,2017,356229,4,134.32
6379,1415,3,1,Rural,1966,85670,4,60.54
6380,1793,4,3,Suburb,1987,161524,7,90.09
6381,2403,3,1,Suburb,2019,269560,4,112.18
6382,2167,5,3,Suburb,1957,339531,8,156.68
6383,1024,2,2,Suburb,2005,134254,4,131.11
6384,2845,3,3,Suburb,2009,322842,6,113.48
6385,1667,5,2,Urban,2000,144618,7,86.75
6386,2096,5,1,Rural,1961,238882,6,113.97
6387,1631,2,1,Rural,1964,161790,3,99.2
6388,2847,4,1,Urban,1953,240062,5,84.32
6389,2856,2,1,Rural,1993,317740,3,111.25
6390,2116,2,2,Rural,1966,320423,4,151.43
6391,1504,3,2,Rural,1976,209801,5,139.5
6392,2621,3,1,Urban,1996,234114,4,89.32
6393,1335,4,2,Suburb,1984,159513,6,119.49
6394,1424,5,2,Suburb,1978,141325,7,99.25
6395,1498,3,2,Suburb,1962,240429,5,160.5
6396,2387,4,1,Suburb,1973,301562,5,126.34
6397,1946,2,3,Rural,1967,284079,5,145.98
6398,1629,5,3,Urban,2011,215847,8,132.5
6399,2768,2,2,Suburb,1963,286093,4,103.36
6400,2222,5,3,Urban,1964,196717,8,88.53
6401,1717,3,3,Rural,2013,218584,6,127.31
6402,2436,2,2,Suburb,1974,221029,4,90.73
6403,1338,2,2,Rural,1958,107896,4,80.64
6404,1658,5,2,Rural,1978,223130,7,134.58
6405,1961,4,1,Suburb,1962,265738,5,135.51
6406,2960,5,3,Urban,1965,329234,8,111.23
6407,1428,3,3,Suburb,1976,120061,6,84.08
6408,2806,4,2,Rural,1955,315154,6,112.31
6409,1898,2,1,Urban,1959,304392,3,160.38
6410,1138,2,2,Urban,1984,116750,4,102.59
6411,2716,2,1,Suburb,1975,271059,3,99.8
6412,1941,3,3,Suburb,1973,213881,6,110.19
6413,1541,2,2,Suburb,2004,143250,4,92.96
6414,1056,2,2,Urban,2000,145430,4,137.72
6415,2255,4,3,Urban,2010,302094,7,133.97
6416,1657,3,1,Suburb,1959,160389,4,96.79
6417,1434,2,1,Rural,1997,85995,3,59.97
6418,1383,4,3,Urban,1972,255004,7,184.38
6419,1559,2,1,Rural,1992,237333,3,152.23
6420,1193,4,3,Suburb,1988,210502,7,176.45
6421,2759,2,3,Suburb,1958,348053,5,126.15
6422,2671,3,3,Rural,1975,260883,6,97.67
6423,1533,5,1,Suburb,1971,142084,6,92.68
6424,1517,3,2,Rural,1953,238748,5,157.38
6425,1715,4,3,Rural,1993,161428,7,94.13
6426,1750,2,1,Urban,1996,91649,3,52.37
6427,1184,3,3,Rural,1966,166823,6,140.9
6428,2895,2,1,Suburb,1968,322718,3,111.47
6429,1291,3,3,Suburb,1984,257735,6,199.64
6430,2358,4,1,Suburb,1974,213887,5,90.71
6431,1731,5,3,Suburb,2018,188532,8,108.92
6432,1115,3,3,Suburb,2011,115535,6,103.62
6433,1824,2,3,Urban,2016,161574,5,88.58
6434,2072,2,1,Urban,1994,260954,3,125.94
6435,1684,2,2,Urban,1966,178084,4,105.75
6436,1081,4,3,Rural,1993,55943,7,51.75
6437,1833,4,1,Urban,2013,114382,5,62.4
6438,1332,5,1,Rural,2014,65452,6,49.14
6439,1556,2,1,Rural,2021,266678,3,171.39
6440,1334,5,2,Urban,1965,225944,7,169.37
6441,1531,2,2,Suburb,1971,150963,4,98.6
6442,2983,3,2,Urban,1977,395624,5,132.63
6443,1220,3,3,Rural,2018,219742,6,180.12
6444,1634,3,3,Rural,1981,123643,6,75.67
6445,2769,2,1,Rural,2006,204033,3,73.68
6446,2756,3,1,Urban,1961,274034,4,99.43
6447,1322,2,3,Urban,1976,156671,5,118.51
6448,2874,5,1,Rural,1997,213460,6,74.27
6449,1002,4,1,Urban,1968,51944,5,51.84
6450,2717,3,2,Urban,1995,327777,5,120.64
6451,1205,2,3,Rural,1994,175508,5,145.65
6452,2855,2,2,Urban,1993,360463,4,126.26
6453,1039,5,1,Urban,1953,51937,6,49.99
6454,1058,5,3,Suburb,1951,77791,8,73.53
6455,1950,4,2,Suburb,1967,255724,6,131.14
6456,1573,5,3,Urban,1975,169573,8,107.8
6457,1643,4,1,Urban,2017,193251,5,117.62
6458,2530,4,1,Urban,2000,294923,5,116.57
6459,2595,5,1,Rural,1952,309491,6,119.26
6460,2907,4,3,Urban,1956,352614,7,121.3
6461,1842,3,3,Urban,1998,131713,6,71.51
6462,2145,4,2,Suburb,1992,191038,6,89.06
6463,2502,2,3,Urban,1953,311080,5,124.33
6464,1618,2,2,Suburb,1967,153778,4,95.04
6465,1095,2,2,Urban,1972,248585,4,227.02
6466,2882,5,2,Rural,1978,357769,7,124.14
6467,2437,2,3,Urban,2015,280248,5,115.0
6468,2258,5,3,Urban,1986,220707,8,97.74
6469,1897,2,3,Suburb,1970,200097,5,105.48
6470,2085,4,2,Suburb,2016,238668,6,114.47
6471,2279,5,1,Suburb,1996,260992,6,114.52
6472,1560,2,2,Urban,1968,235520,4,150.97
6473,1904,4,2,Rural,2000,225183,6,118.27
6474,1347,5,2,Suburb,1962,178700,7,132.67
6475,1670,4,3,Urban,1966,256260,7,153.45
6476,2147,4,2,Urban,2008,239863,6,111.72
6477,2505,4,2,Urban,1960,268696,6,107.26
6478,1316,5,2,Suburb,1954,164930,7,125.33
6479,2527,5,1,Urban,1974,235116,6,93.04
6480,1718,3,3,Urban,1997,135566,6,78.91
6481,2071,3,2,Suburb,1959,209917,5,101.36
6482,2432,3,2,Urban,1959,280351,5,115.28
6483,2955,3,1,Urban,1963,382776,4,129.54
6484,2159,5,3,Rural,1977,217829,8,100.89
6485,2224,3,2,Urban,1983,309102,5,138.98
6486,1249,2,3,Rural,2000,62077,5,49.7
6487,1313,3,2,Suburb,1999,149857,5,114.13
6488,2892,2,2,Suburb,1982,336346,4,116.3
6489,2391,2,3,Rural,1977,214214,5,89.59
6490,2452,4,1,Rural,1978,313076,5,127.68
6491,2853,4,2,Rural,2008,253163,6,88.74
6492,1806,4,3,Urban,1990,165110,7,91.42
6493,2503,3,2,Urban,1954,234207,5,93.57
6494,2337,5,2,Rural,2010,321212,7,137.45
6495,2523,2,1,Rural,1991,308747,3,122.37
6496,2744,5,1,Rural,1962,308630,6,112.47
6497,2378,5,3,Suburb,1979,308775,8,129.85
6498,1484,3,2,Urban,1975,200056,5,134.81
6499,2234,5,2,Urban,1954,267710,7,119.83
6500,2727,5,3,Suburb,2019,277058,8,101.6
6501,1043,4,2,Urban,1986,86788,6,83.21
6502,2564,4,2,Rural,1999,264861,6,103.3
6503,1570,2,3,Urban,1991,191220,5,121.8
6504,1582,2,1,Rural,1994,175774,3,111.11
6505,2115,4,2,Suburb,2010,199679,6,94.41
6506,2288,3,1,Suburb,1967,353292,4,154.41
6507,1894,3,1,Urban,1950,253690,4,133.94
6508,1219,2,1,Rural,1996,120305,3,98.69
6509,2925,4,3,Rural,1997,330800,7,113.09
6510,1924,3,3,Urban,2009,192677,6,100.14
6511,2465,5,3,Suburb,1959,410660,8,166.6
6512,1400,2,1,Rural,2015,115401,3,82.43
6513,2423,2,1,Urban,2002,244822,3,101.04
6514,1726,5,1,Rural,2014,174249,6,100.96
6515,1990,5,2,Rural,2014,231721,7,116.44
6516,1898,2,1,Rural,1979,187360,3,98.71
6517,2812,5,2,Urban,1956,343788,7,122.26
6518,2599,3,1,Suburb,2004,249254,4,95.9
6519,1857,2,2,Suburb,2012,198516,4,106.9
6520,1803,3,2,Suburb,2012,202185,5,112.14
6521,1489,2,3,Urban,2015,250672,5,168.35
6522,2508,3,3,Urban,1953,328375,6,130.93
6523,2780,4,1,Suburb,2011,351951,5,126.6
6524,2493,3,3,Urban,1988,360683,6,144.68
6525,2597,5,2,Suburb,2012,294775,7,113.51
6526,1937,4,3,Suburb,1978,239518,7,123.65
6527,1843,2,3,Urban,1986,194460,5,105.51
6528,2705,3,2,Rural,1967,321103,5,118.71
6529,2468,2,1,Rural,1960,347540,3,140.82
6530,2292,4,1,Urban,1981,142291,5,62.08
6531,1266,5,2,Urban,1987,211682,7,167.21
6532,1053,5,3,Suburb,1994,223626,8,212.37
6533,1527,5,1,Rural,1954,245402,6,160.71
6534,2543,2,2,Rural,2016,203431,4,80.0
6535,1615,5,1,Suburb,1989,113279,6,70.14
6536,2082,5,2,Suburb,1972,259379,7,124.58
6537,2848,2,3,Rural,1982,230539,5,80.95
6538,2063,2,1,Suburb,1971,64458,3,31.24
6539,2260,4,2,Rural,1995,287286,6,127.12
6540,1954,5,1,Urban,1958,304988,6,156.08
6541,1385,4,3,Urban,1954,228793,7,165.19
6542,2629,3,1,Rural,2010,345843,4,131.55
6543,1733,3,2,Rural,1993,172533,5,99.56
6544,1715,3,3,Suburb,2012,186846,6,108.95
6545,1649,3,2,Urban,1953,151220,5,91.7
6546,1299,2,3,Rural,1975,94553,5,72.79
6547,1394,4,1,Suburb,1998,177527,5,127.35
6548,2230,4,3,Rural,1957,281090,7,126.05
6549,2359,2,3,Urban,1977,191313,5,81.1
6550,1592,3,3,Rural,1977,110342,6,69.31
6551,2753,4,3,Rural,2002,313823,7,113.99
6552,1513,5,2,Rural,2011,249370,7,164.82
6553,2201,2,3,Rural,2003,220631,5,100.24
6554,1395,2,2,Rural,1975,229783,4,164.72
6555,1370,5,2,Urban,1994,182035,7,132.87
6556,1857,3,1,Suburb,1956,182697,4,98.38
6557,1790,3,1,Urban,1959,186881,4,104.4
6558,1657,4,3,Suburb,1957,174199,7,105.13
6559,2341,5,3,Suburb,1965,258234,8,110.31
6560,1735,4,1,Urban,1956,256226,5,147.68
6561,2392,3,1,Rural,1964,182203,4,76.17
6562,1383,4,2,Suburb,1989,115791,6,83.72
6563,1061,5,3,Rural,2008,112315,8,105.86
6564,2829,5,1,Urban,2015,304269,6,107.55
6565,1504,5,1,Suburb,2011,145880,6,96.99
6566,1238,3,2,Suburb,1997,148869,5,120.25
6567,1194,2,2,Urban,1990,149618,4,125.31
6568,1677,2,1,Urban,1968,210811,3,125.71
6569,2986,2,3,Rural,1952,374250,5,125.33
6570,2245,4,2,Urban,1994,288372,6,128.45
6571,1060,5,2,Rural,1967,222476,7,209.88
6572,2152,3,3,Suburb,1998,301212,6,139.97
6573,1989,2,1,Rural,2018,336142,3,169.0
6574,1684,2,1,Suburb,2019,257191,3,152.73
6575,1155,4,3,Suburb,2014,72175,7,62.49
6576,2940,4,3,Suburb,1991,349308,7,118.81
6577,2401,2,2,Urban,1955,315721,4,131.5
6578,2645,5,1,Rural,2001,260853,6,98.62
6579,2804,5,1,Rural,1959,264159,6,94.21
6580,1922,4,1,Rural,1981,188852,5,98.26
6581,1867,4,3,Rural,1974,228310,7,122.29
6582,1902,5,3,Suburb,1976,298781,8,157.09
6583,2813,4,1,Suburb,1972,385200,5,136.94
6584,2609,4,3,Rural,1966,272260,7,104.35
6585,1998,5,3,Urban,2006,200724,8,100.46
6586,2460,5,3,Urban,1984,312996,8,127.23
6587,1974,3,1,Urban,1975,177977,4,90.16
6588,2230,4,1,Rural,1958,168743,5,75.67
6589,1387,4,1,Suburb,1953,151617,5,109.31
6590,2503,3,2,Urban,1966,189450,5,75.69
6591,2814,4,1,Urban,1957,359472,5,127.74
6592,1886,4,2,Urban,1984,213886,6,113.41
6593,1837,2,3,Rural,1962,172442,5,93.87
6594,2363,2,3,Suburb,1953,293463,5,124.19
6595,2892,2,3,Suburb,2006,309377,5,106.98
6596,1339,3,1,Rural,1973,71326,4,53.27
6597,1203,4,2,Suburb,1988,126764,6,105.37
6598,1160,3,1,Suburb,1991,63252,4,54.53
6599,2563,3,1,Urban,2019,283749,4,110.71
6600,1391,4,3,Suburb,2007,186243,7,133.89
6601,1768,5,2,Rural,1961,287660,7,162.7
6602,2700,5,1,Suburb,1978,303766,6,112.51
6603,1574,4,2,Urban,1981,137971,6,87.66
6604,1533,5,1,Urban,1998,139398,6,90.93
6605,2093,2,3,Rural,1958,197680,5,94.45
6606,1892,4,1,Suburb,1952,238448,5,126.03
6607,1404,3,2,Suburb,2011,185491,5,132.12
6608,1607,2,3,Urban,1959,145641,5,90.63
6609,2698,3,1,Suburb,1993,366708,4,135.92
6610,2614,5,2,Urban,1965,359111,7,137.38
6611,2540,4,2,Rural,2000,318356,6,125.34
6612,1827,2,3,Suburb,2000,175975,5,96.32
6613,2143,4,3,Urban,1964,152091,7,70.97
6614,2837,2,1,Rural,1959,250311,3,88.23
6615,1689,2,3,Suburb,1987,193702,5,114.68
6616,2711,2,1,Urban,1997,250282,3,92.32
6617,1901,4,2,Urban,1972,217091,6,114.2
6618,2240,2,3,Suburb,1986,232544,5,103.81
6619,1055,2,2,Rural,1982,127663,4,121.01
6620,1365,4,2,Suburb,1984,120129,6,88.01
6621,2722,3,1,Urban,1967,362558,4,133.2
6622,2527,5,3,Urban,1958,363056,8,143.67
6623,2767,4,1,Rural,1963,341727,5,123.5
6624,2790,4,3,Rural,1990,350448,7,125.61
6625,2948,2,1,Rural,2011,382541,3,129.76
6626,1454,4,1,Rural,2012,86069,5,59.19
6627,1103,4,1,Rural,2018,22130,5,20.06
6628,1076,5,2,Urban,2010,177437,7,164.9
6629,1229,4,3,Urban,1955,242748,7,197.52
6630,2937,2,2,Rural,1978,294600,4,100.31
6631,2281,5,2,Urban,2008,269947,7,118.35
6632,2287,4,1,Suburb,1983,228270,5,99.81
6633,1330,2,1,Rural,1988,153745,3,115.6
6634,2205,5,2,Suburb,1995,273607,7,124.08
6635,1892,4,3,Rural,2007,286678,7,151.52
6636,2791,2,1,Urban,2014,360977,3,129.34
6637,2573,5,2,Rural,1975,293908,7,114.23
6638,1687,2,3,Urban,1969,154267,5,91.44
6639,1026,5,3,Urban,2021,125994,8,122.8
6640,2299,4,2,Urban,2010,250752,6,109.07
6641,2675,3,2,Urban,2001,360404,5,134.73
6642,1298,5,3,Rural,1998,159902,8,123.19
6643,1956,4,3,Suburb,1977,271251,7,138.68
6644,1798,5,2,Rural,2004,295226,7,164.2
6645,2114,3,2,Urban,1993,244990,5,115.89
6646,1479,2,3,Rural,1994,193723,5,130.98
6647,1572,3,1,Suburb,2016,158587,4,100.88
6648,1457,3,3,Rural,2008,199919,6,137.21
6649,2474,2,3,Urban,2011,305948,5,123.67
6650,1364,3,3,Urban,1989,182917,6,134.1
6651,1858,4,3,Urban,1982,150791,7,81.16
6652,2698,5,1,Rural,2017,340410,6,126.17
6653,1350,3,2,Rural,2007,238143,5,176.4
6654,2678,5,3,Suburb,1994,300505,8,112.21
6655,2423,5,2,Suburb,2021,199086,7,82.17
6656,1252,2,2,Suburb,1977,190206,4,151.92
6657,1780,3,2,Urban,1986,321815,5,180.79
6658,2904,2,3,Rural,1972,333808,5,114.95
6659,1802,2,3,Rural,2017,87173,5,48.38
6660,2011,5,3,Urban,2021,323190,8,160.71
6661,1458,4,1,Urban,1968,135156,5,92.7
6662,2722,5,2,Suburb,1982,310345,7,114.01
6663,1916,2,1,Urban,2008,259389,3,135.38
6664,1498,3,1,Urban,2019,230907,4,154.14
6665,1949,4,3,Urban,2020,254537,7,130.6
6666,2994,4,2,Suburb,1966,355288,6,118.67
6667,2949,3,2,Urban,1972,343618,5,116.52
6668,1507,3,3,Suburb,2016,128286,6,85.13
6669,2327,4,3,Rural,1994,224393,7,96.43
6670,1500,2,1,Urban,1986,198671,3,132.45
6671,1802,4,3,Urban,1981,251466,7,139.55
6672,1597,4,1,Suburb,2016,166059,5,103.98
6673,1165,4,2,Rural,1955,126388,6,108.49
6674,2438,2,1,Rural,2007,242188,3,99.34
6675,1461,3,3,Urban,2013,145844,6,99.82
6676,1919,3,2,Rural,1968,248478,5,129.48
6677,1113,3,1,Suburb,2010,149488,4,134.31
6678,2456,2,1,Suburb,2001,198804,3,80.95
6679,1991,2,2,Suburb,2002,188172,4,94.51
6680,2379,3,1,Suburb,1983,226031,4,95.01
6681,2951,5,1,Suburb,1973,306713,6,103.94
6682,2718,5,1,Rural,1954,250809,6,92.28
6683,1206,3,3,Rural,2012,134717,6,111.71
6684,2791,5,3,Urban,1974,231605,8,82.98
6685,2258,5,3,Urban,2011,245018,8,108.51
6686,2465,3,1,Rural,2021,298125,4,120.94
6687,2378,3,2,Rural,2012,273122,5,114.85
6688,1514,2,1,Urban,1969,129252,3,85.37
6689,2231,5,1,Urban,1997,250274,6,112.18
6690,1708,5,3,Suburb,1959,224787,8,131.61
6691,2876,3,3,Rural,2005,267649,6,93.06
6692,2148,4,1,Rural,2011,224197,5,104.37
6693,1137,3,3,Rural,1977,213340,6,187.63
6694,1338,2,1,Rural,1978,182695,3,136.54
6695,1536,4,3,Suburb,1975,194522,7,126.64
6696,1067,4,1,Rural,1966,143748,5,134.72
6697,2596,4,1,Suburb,1995,281898,5,108.59
6698,2564,2,2,Rural,1995,323635,4,126.22
